"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Common Name","PLANTS Floristic Area","Category","Active Growth Period","Flower Color","Foliage Color","Fruit Color","Growth Form","Growth Rate","Height at Base Age, Maximum (feet)","Height, Mature (feet)","Lifespan","Shape and Orientation","Toxicity","Adapted to Coarse Textured Soils","Adapted to Medium Textured Soils","Adapted to Fine Textured Soils","Drought Tolerance","Moisture Use","pH (Minimum)","pH (Maximum)","Root Depth, Minimum (inches)","Shade Tolerance","Temperature, Minimum (°F)","Bloom Period","Commercial Availability","Propogated by Container","Seedling Vigor","Palatable Human"
"CEMO2","","CEMO2","Cercocarpus montanus","alderleaf mountain mahogany","NA (L48)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Slow","15","15","Long","Erect","Moderate","Yes","Yes","No","High","Low","6.0","8.0","20","Intermediate","-41","Late Spring","Routinely Available","Yes","Medium","No"
"CHFA2","","CHFA2","Chamaecrista fasciculata","partridge pea","NA (L48)","Dicot","Spring","Yellow","Green","Black","Bunch","Rapid","","2.4","","Erect","Slight","Yes","Yes","No","Medium","Medium","5.5","7.5","14","Tolerant","-3","Early Summer","Routinely Available","No","High","No"
"CHLA","","CHLA","Chamaecyparis lawsoniana","Port Orford cedar","NA (L48)","Gymnosperm","Spring and Summer","Blue","Green","Brown","Single Stem","Moderate","40","200","Long","Conical","None","Yes","Yes","Yes","Low","Medium","4.2","7.5","60","Tolerant","-12","Mid Spring","Routinely Available","Yes","Low","No"
"CHTH2","","CHTH2","Chamaecyparis thyoides","Atlantic white cedar","NA (L48)","Gymnosperm","Spring and Summer","Green","Green","Brown","Single Stem","Moderate","20","50","Long","Erect","None","Yes","Yes","No","None","Low","3.5","6.3","16","Intermediate","-36","Spring","Routinely Available","Yes","Medium","No"
"CHCA2","","CHCA2","Chamaedaphne calyculata","leatherleaf","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","White","Yellow-Green","Brown","Rhizomatous","Moderate","4","4.0","Moderate","Irregular","None","Yes","Yes","Yes","Low","High","5.0","6.0","8","Intermediate","-28","Early Spring","Routinely Available","Yes","Medium","No"
"CHLA5","","CHLA5","Chasmanthium latifolium","Indian woodoats","NA (L48)","Monocot","Spring","Green","Green","Black","Rhizomatous","Moderate","","4.6","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","5.0","7.0","10","Tolerant","-33","Summer","Routinely Available","No","Medium","No"
"CHLA6","","CHLA6","Chasmanthium laxum","slender woodoats","NA (L48)","Monocot","Spring","Green","Green","Black","Rhizomatous","Moderate","","3.3","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","4.5","7.0","10","Tolerant","-33","Summer","Routinely Available","No","Medium","No"
"CHLI2","","CHLI2","Chilopsis linearis","desert willow","NA (L48)","Dicot","Spring, Summer, Fall","Purple","Green","Brown","Multiple Stem","Rapid","15","25","Short","Erect","None","Yes","No","No","High","Low","6.6","10.0","12","Intermediate","-23","Late Spring","Routinely Available","Yes","Low","No"
"CHGA2","","CHGA2","Chloris gayana","Rhodes grass","NA (L48), HI, VI","Monocot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","","3.0","Moderate","Erect","None","No","Yes","Yes","Medium","Low","5.0","7.0","6","Intolerant","-8","Late Summer","Routinely Available","No","High","No"
"CHVI8","","CHVI8","Chrysothamnus viscidiflorus","yellow rabbitbrush","NA (L48, CAN)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Moderate","3","3.0","Short","Erect","None","Yes","Yes","No","High","Low","7.0","8.5","14","Intolerant","-23","Spring","Routinely Available","Yes","Medium","No"
"CICH","","CICH","Cibotium chamissoi","Chamisso's manfern","HI","Fern","Year Round","Brown","Green","Brown","Multiple Stem","Slow","23","10","Short","Erect","None","No","No","Yes","Low","Medium","6.5","7.5","12","Intermediate","40","Indeterminate","Routinely Available","No","Low","Yes"
"CIGL","","CIGL","Cibotium glaucum","hapu'u","HI","Fern","Year Round","Brown","Green","Brown","Single Stem","Slow","12","8.0","Short","Erect","None","No","No","Yes","Low","Medium","6.5","7.5","12","Intermediate","40","Indeterminate","Routinely Available","No","Low","Yes"
"CIIN","","CIIN","Cichorium intybus","chicory","NA (L48, CAN, SPM)","Dicot","Summer","Blue","Green","Brown","Bunch","Rapid","","2.0","Short","Erect","None","Yes","Yes","Yes","Medium","High","6.0","7.5","8","Intolerant","-43","Mid Summer","Routinely Available","No","High","Yes"
"CIAR2","","CIAR2","Cinna arundinacea","sweet woodreed","NA (L48, CAN)","Monocot","Spring","Green","Green","Yellow","Bunch","Moderate","","4.9","Long","Erect","None","Yes","Yes","Yes","Low","Low","4.0","8.5","16","Tolerant","-33","Summer","Routinely Available","No","Medium","No"
"CIPA3","","CIPA3","Citrus ×paradisi","grapefruit","NA (L48), PR","Dicot","Year Round","White","Green","Green","Single Stem","Moderate","20","20","Moderate","Columnar","None","No","Yes","Yes","Medium","Medium","4.0","7.5","60","Intermediate","31","Spring","Routinely Available","Yes","","No"
"CISI3","","CISI3","Citrus ×sinensis","sweet orange","NA (L48), PR, VI","Dicot","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CISI3","CISI","CISI","Citrus sinensis","","","","Year Round","Green","Green","Orange","Single Stem","Moderate","30","30","Moderate","Rounded","None","Yes","Yes","Yes","Medium","Medium","5.0","7.0","60","Intermediate","17","Spring","Routinely Available","Yes","","No"
"CLMAJ","","CLMAJ","Cladium mariscus ssp. jamaicense","Jamaica swamp sawgrass","NA (L48), HI, PR","Monocot","Summer","Green","Dark Green","Brown","Bunch","Moderate","","8.2","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","4.5","8.6","16","Intolerant","12","Summer","Routinely Available","No","Medium","No"
"CLKE","","CLKE","Cladrastis kentukea","Kentucky yellowwood","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Single Stem","Moderate","25","40","Long","Erect","None","Yes","Yes","No","Medium","Low","4.8","7.5","24","Intermediate","-32","Early Summer","Routinely Available","Yes","Medium","No"
"CLLI2","","CLLI2","Clematis ligusticifolia","western white clematis","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","White","Multiple Stem","Moderate","","1.0","Long","Climbing","None","Yes","Yes","Yes","Medium","Medium","5.6","8.4","16","Intermediate","-38","Mid Summer","Routinely Available","Yes","Medium","No"
"CLAL3","","CLAL3","Clethra alnifolia","coastal sweetpepperbush","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","16","16","Moderate","Erect","None","Yes","Yes","No","Low","High","4.5","7.0","16","Intermediate","-23","Summer","Routinely Available","Yes","Low","No"
"CODI8","","CODI8","Coccoloba diversifolia","tietongue","NA (L48), PR, VI","Dicot","Spring","White","Green","Purple","","Moderate","38","25","","Rounded","None","Yes","Yes","Yes","High","","","","36","Tolerant","40","Summer","Routinely Available","Yes","","Yes"
"COUV","","COUV","Coccoloba uvifera","seagrape","NA (L48), HI, PR, VI","Dicot","Year Round","White","Green","Purple","Multiple Stem","Slow","25","25","Long","Semi-Erect","None","Yes","Yes","Yes","High","Low","5.0","8.0","60","Intermediate","17","Indeterminate","Routinely Available","Yes","","Yes"
"CONU","","CONU","Cocos nucifera","coconut palm","NA (L48), HI, PR, VI","Monocot","Year Round","White","Green","Brown","Single Stem","Moderate","60","60","Moderate","Erect","None","Yes","Yes","Yes","Medium","Low","4.0","8.0","60","Intolerant","18","Indeterminate","Routinely Available","Yes","","Yes"
"COAR2","","COAR2","Coffea arabica","Arabian coffee","HI, PR, VI","Dicot","Year Round","White","Green","Red","Multiple Stem","Moderate","","15","Moderate","Rounded","None","Yes","Yes","No","Medium","High","4.0","7.5","40","Tolerant","17","Spring","Routinely Available","Yes","Medium","No"
"COCO13","","COCO13","Conoclinium coelestinum","blue mistflower","NA (L48, CAN)","Dicot","Summer","Blue","Green","","Single Crown","Moderate","","3.2","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.5","7.5","14","Tolerant","-13","Summer","Routinely Available","No","Medium","No"
"COMA7","","COMA7","Convallaria majalis","European lily of the valley","NA (L48, CAN)","Monocot","Summer","White","Green","Brown","Rhizomatous","Slow","","0.8","Moderate","Erect","None","No","Yes","Yes","Low","Medium","5.5","7.5","10","Tolerant","-33","Summer","Routinely Available","Yes","","No"
"COFR2","","COFR2","Cordyline fruticosa","tiplant","NA (L48), HI, PR","Monocot","Year Round","White","Green","Red","Single Stem","Moderate","10","10","Long","Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","7.7","18","Intermediate","35","Spring","Routinely Available","Yes","Medium","Yes"
"COLA5","","COLA5","Coreopsis lanceolata","lanceleaf tickseed","NA (L48, CAN), HI","Dicot","Spring and Summer","Yellow","Green","Black","Single Crown","Moderate","","2.0","Moderate","Erect","None","No","Yes","Yes","Low","Medium","6.0","7.0","6","Intolerant","-8","Late Summer","Routinely Available","Yes","High","No"
"COTI3","","COTI3","Coreopsis tinctoria","golden tickseed","NA (L48, CAN), HI","Dicot","Spring and Summer","Yellow","Green","Brown","Single Crown","Rapid","","3.0","Short","Erect","None","No","Yes","Yes","Low","High","5.2","7.8","8","Intermediate","52","Late Spring","Routinely Available","No","High","No"
"COAM2","","COAM2","Cornus amomum","silky dogwood","NA (L48)","Dicot","Spring and Summer","White","Green","Green","Stoloniferous","Moderate","7","10","Moderate","Semi-Erect","None","Yes","Yes","Yes","Low","High","5.0","7.0","16","Intermediate","-38","Early Spring","Routinely Available","Yes","Medium","No"
"CODR","","CODR","Cornus drummondii","roughleaf dogwood","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","White","Multiple Stem","Rapid","25","20","Long","Erect","None","No","Yes","Yes","Low","Low","4.5","7.5","20","Intermediate","-28","Mid Spring","Routinely Available","Yes","Low","No"
"COFL2","","COFL2","Cornus florida","flowering dogwood","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","20","30","Short","Erect","","Yes","Yes","No","Low","Low","4.8","7.7","18","Tolerant","-28","Early Spring","Routinely Available","Yes","Medium","No"
"COFO","","COFO","Cornus foemina","stiff dogwood","NA (L48)","Dicot","Spring and Summer","White","Green","Black","Thicket Forming","Moderate","16","16","Moderate","Erect","None","No","Yes","Yes","Low","Medium","5.8","7.2","16","Intermediate","-3","Mid Spring","Routinely Available","Yes","Medium","No"
"COMA21","","COMA21","Cornus mas","Cornelian cherry","NA (L48)","Dicot","Spring and Summer","Yellow","Green","Red","Single Stem","Slow","20","26","Moderate","Erect","None","Yes","Yes","Yes","Low","Medium","5.0","7.5","30","Intermediate","-27","Mid Spring","Routinely Available","Yes","Medium","Yes"
"CORA6","","CORA6","Cornus racemosa","gray dogwood","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Rhizomatous","Moderate","6","10","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","4.8","7.4","16","Tolerant","-47","Late Spring","Routinely Available","Yes","Medium","No"
"COSEO","","COSEO","Cornus sericea ssp. occidentalis","western dogwood","NA (L48, AK)","Dicot","Spring and Summer","White","Green","White","Multiple Stem","Moderate","15","16","Long","Semi-Erect","None","Yes","Yes","Yes","Low","Medium","4.8","7.5","16","Intermediate","-35","Summer","Routinely Available","Yes","Medium","No"
"COSES","","COSES","Cornus sericea ssp. sericea","redosier dogwood","NA (L48, AK, CAN, SPM)","Dicot","Spring and Summer","White","Green","White","Multiple Stem","Moderate","12","12","Moderate","Semi-Erect","None","Yes","Yes","Yes","Low","High","4.8","7.5","20","Intolerant","-38","Spring","Routinely Available","Yes","Medium","No"
"COAM3","","COAM3","Corylus americana","American hazelnut","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","10","10","Short","Erect","None","No","Yes","Yes","Medium","Medium","5.0","7.0","20","Intermediate","-33","Spring","Routinely Available","Yes","High","No"
"COCO6","","COCO6","Corylus cornuta","beaked hazelnut","NA (L48, CAN, SPM)","Dicot","Spring and Summer","Yellow","Green","Brown","Multiple Stem","Moderate","15","15","Long","Erect","None","No","Yes","No","Medium","Medium","4.8","7.5","16","Tolerant","-47","Early Spring","Routinely Available","Yes","High","Yes"
"COAC2","","COAC2","Cotoneaster acutifolius","Peking cotoneaster","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Multiple Stem","Moderate","6","13","Long","Semi-Erect","None","Yes","Yes","Yes","Medium","Medium","5.5","7.5","16","Intermediate","-38","Mid Spring","Routinely Available","Yes","Medium","No"
"COAP3","","COAP3","Cotoneaster apiculatus","cranberry cotoneaster","NA (L48)","Dicot","Spring and Summer","White","Dark Green","Red","Multiple Stem","Rapid","4","5.0","Moderate","Semi-Erect","None","No","Yes","No","Low","Medium","5.0","7.5","14","Intermediate","-33","Mid Spring","Routinely Available","Yes","Medium","No"
"COHO80","","COHO80","Cotoneaster horizontalis","rockspray cotoneaster","NA (L48, CAN)","Dicot","Spring, Summer, Fall","White","Green","Red","Thicket Forming","Rapid","1","4.0","Moderate","Prostrate","None","No","Yes","No","Medium","Medium","5.5","7.0","16","Tolerant","-28","Spring","Routinely Available","Yes","Medium","No"
"CRAE","","CRAE","Crataegus aestivalis","may hawthorn","NA (L48)","Dicot","Spring and Summer","White","Dark Green","Red","Multiple Stem","Slow","26","26","Moderate","Erect","None","No","Yes","No","Low","High","4.3","7.3","18","Intolerant","-8","Mid Spring","Routinely Available","Yes","Medium","No"
"CRCR2","","CRCR2","Crataegus crus-galli","cockspur hawthorn","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Single Stem","Moderate","30","30","Long","Erect","None","Yes","Yes","Yes","High","Low","4.5","7.2","24","Intolerant","-33","Late Spring","Routinely Available","Yes","Medium","No"
"CRDO2","","CRDO2","Crataegus douglasii","black hawthorn","NA (L48, AK, CAN)","Dicot","Spring, Summer, Fall","White","Green","Black","Thicket Forming","Moderate","15","15","Moderate","Erect","None","Yes","Yes","Yes","Low","High","4.8","7.5","12","Intermediate","-47","Mid Spring","Routinely Available","Yes","High","Yes"
"CRMA5","","CRMA5","Crataegus marshallii","parsley hawthorn","NA (L48)","Dicot","Spring and Summer","White","Green","Red","Single Stem","Moderate","25","25","Moderate","Erect","None","No","Yes","Yes","Low","Medium","5.8","7.2","18","Tolerant","-3","Mid Spring","Routinely Available","Yes","Low","Yes"
"CRPH","","CRPH","Crataegus phaenopyrum","Washington hawthorn","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Red","Single Stem","Moderate","25","30","Long","Erect","None","No","Yes","Yes","Medium","Medium","4.3","7.0","30","Intolerant","-33","Mid Spring","Routinely Available","Yes","Medium","No"
"CRVI2","","CRVI2","Crataegus viridis","green hawthorn","NA (L48)","Dicot","Spring and Summer","White","Yellow-Green","Red","Multiple Stem","Moderate","24","30","Long","Erect","None","No","Yes","Yes","Low","High","4.3","7.3","18","Intolerant","-24","Early Spring","Routinely Available","Yes","Low","Yes"
"CRCU","","CRCU","Crescentia cujete","common calabash tree","NA (L48), PR, VI","Dicot","Spring","Green","Green","Green","Single Crown","Slow","49","33","","","Moderate","Yes","No","Yes","","","","","36","","40","Summer","Routinely Available","Yes","","No"
"CRJA3","","CRJA3","Cryptomeria japonica","Japanese cedar","NA (L48)","Gymnosperm","Spring and Summer","Yellow","Green","Brown","Single Stem","Rapid","35","55","Moderate","Erect","None","No","Yes","Yes","Medium","Medium","5.5","7.0","24","Intolerant","-8","Mid Spring","Routinely Available","Yes","Low","No"
"CYOB2","","CYOB2","Cydonia oblonga","quince","NA (L48, CAN)","Dicot","Summer","White","Green","Yellow","Single Stem","Slow","16","16","Moderate","Oval","None","Yes","Yes","No","Low","Medium","5.0","6.5","30","Intolerant","-23","Spring","Routinely Available","Yes","Medium","Yes"
"CYDA","","CYDA","Cynodon dactylon","Bermudagrass","NA (L48, CAN, SPM), HI, PR, VI","Monocot","Spring, Summer, Fall","Yellow","Green","Brown","Stoloniferous","Rapid","","1.4","Long","Prostrate","None","Yes","Yes","Yes","Medium","High","5.0","8.0","14","Intolerant","-8","Mid Spring","Routinely Available","No","Low","No"
"CYES","","CYES","Cyperus esculentus","yellow nutsedge","NA (L48, CAN), HI, PR, VI","Monocot","Summer and Fall","Green","Green","Yellow","Rhizomatous","Rapid","","0.7","Short","Semi-Erect","None","Yes","Yes","Yes","Medium","Low","5.0","7.0","10","Intolerant","42","Mid Summer","Routinely Available","No","Low","No"
"CYHA","","CYHA","Cyperus haspan","haspan flatsedge","NA (L48), HI, PR","Monocot","Spring","Brown","Green","White","Bunch","Moderate","","3.2","Long","Erect","None","Yes","Yes","Yes","Low","Medium","4.5","7.5","16","Intolerant","7","Late Spring","Routinely Available","No","Medium","No"
"CYOD","","CYOD","Cyperus odoratus","fragrant flatsedge","NA (L48, CAN), HI, PR, VI","Monocot","Summer and Fall","Brown","Green","Black","Bunch","Moderate","","2.0","Short","Erect","None","Yes","Yes","No","Low","Medium","5.0","8.3","8","Intolerant","42","Late Summer","Routinely Available","No","High","No"
"CYST","","CYST","Cyperus strigosus","strawcolored flatsedge","NA (L48, CAN)","Monocot","Spring","Brown","Green","Red","Bunch","Moderate","","3.2","Long","Erect","None","No","Yes","Yes","Low","Medium","6.4","7.0","16","Intolerant","-33","Summer","Routinely Available","No","Medium","No"
"CYSC4","","CYSC4","Cytisus scoparius","Scotch broom","NA (L48, AK, CAN), HI","Dicot","Spring and Summer","Yellow","Green","Black","Multiple Stem","Rapid","7","7.0","Moderate","Erect","None","Yes","Yes","Yes","High","Low","5.5","7.0","16","Intolerant","-13","Spring","Routinely Available","Yes","High","No"
"DAGL","","DAGL","Dactylis glomerata","orchardgrass","NA (L48, AK, CAN, GL, SPM), HI, PR","Monocot","Spring and Fall","Yellow","Green","Brown","Bunch","Moderate","","3.0","Moderate","Erect","None","No","Yes","No","Medium","Medium","5.0","7.5","12","Tolerant","-33","Mid Spring","Routinely Available","No","High","No"
"DACAC","","DACAC","Dalea candida var. candida","white prairie clover","NA (L48, CAN)","Dicot","Spring and Summer","White","Green","Brown","Multiple Stem","Moderate","","2.0","Short","Decumbent","Slight","Yes","Yes","Yes","Medium","Medium","6.0","8.0","14","Intermediate","-38","Mid Summer","Routinely Available","No","Medium","No"
"DAPUP","","DAPUP","Dalea purpurea var. purpurea","purple prairie clover","NA (L48, CAN)","Dicot","Spring and Summer","Purple","Green","Brown","Multiple Stem","Moderate","","3.0","Moderate","Erect","None","Yes","Yes","Yes","Medium","Medium","6.0","8.0","16","Intolerant","-38","Summer","Routinely Available","No","Medium","No"
